tipo,execucao,snr,bler,tempo_execucao
aleatoria,1,0,0.05,266.65612602233887
aleatoria,1,1,0.04,266.65612602233887
aleatoria,1,2,0.0,266.65612602233887
aleatoria,1,3,0.01,266.65612602233887
aleatoria,1,4,0.0,266.65612602233887
aleatoria,2,0,0.14,255.81180000305176
aleatoria,2,1,0.01,255.81180000305176
aleatoria,2,2,0.01,255.81180000305176
aleatoria,2,3,0.0,255.81180000305176
aleatoria,2,4,0.0,255.81180000305176
aleatoria,3,0,0.15,269.0833857059479
aleatoria,3,1,0.04,269.0833857059479
aleatoria,3,2,0.0,269.0833857059479
aleatoria,3,3,0.0,269.0833857059479
aleatoria,3,4,0.0,269.0833857059479
peg,1,0,0.13,238.44826936721802
peg,1,1,0.03,238.44826936721802
peg,1,2,0.0,238.44826936721802
peg,1,3,0.0,238.44826936721802
peg,1,4,0.0,238.44826936721802
peg,2,0,0.08,241.5160620212555
peg,2,1,0.04,241.5160620212555
peg,2,2,0.01,241.5160620212555
peg,2,3,0.0,241.5160620212555
peg,2,4,0.0,241.5160620212555
peg,3,0,0.12,239.89101457595825
peg,3,1,0.01,239.89101457595825
peg,3,2,0.01,239.89101457595825
peg,3,3,0.0,239.89101457595825
peg,3,4,0.0,239.89101457595825
qc,1,0,0.07,281.08699345588684
qc,1,1,0.08,281.08699345588684
qc,1,2,0.01,281.08699345588684
qc,1,3,0.0,281.08699345588684
qc,1,4,0.0,281.08699345588684
qc,2,0,0.06,281.1530005931854
qc,2,1,0.02,281.1530005931854
qc,2,2,0.0,281.1530005931854
qc,2,3,0.0,281.1530005931854
qc,2,4,0.0,281.1530005931854
qc,3,0,0.1,279.75226378440857
qc,3,1,0.01,279.75226378440857
qc,3,2,0.02,279.75226378440857
qc,3,3,0.0,279.75226378440857
qc,3,4,0.0,279.75226378440857
hibrida,1,0,0.11,224.44906997680664
hibrida,1,1,0.04,224.44906997680664
hibrida,1,2,0.02,224.44906997680664
hibrida,1,3,0.0,224.44906997680664
hibrida,1,4,0.0,224.44906997680664
hibrida,2,0,0.13,223.06953382492065
hibrida,2,1,0.04,223.06953382492065
hibrida,2,2,0.0,223.06953382492065
hibrida,2,3,0.0,223.06953382492065
hibrida,2,4,0.0,223.06953382492065
hibrida,3,0,0.07,220.13151741027832
hibrida,3,1,0.02,220.13151741027832
hibrida,3,2,0.0,220.13151741027832
hibrida,3,3,0.0,220.13151741027832
hibrida,3,4,0.0,220.13151741027832
